Name,Online,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Customer_1,No,Yes,1.4,1510,2408,Quick Bites
Customer_2,No,No,1.3,175,1255,Quick Bites
Customer_3,Yes,Yes,3.2,3124,1272,Cafe
Customer_4,Yes,No,3.9,1690,1077,Cafe
Customer_5,No,No,2.6,3000,1999,Buffet
Customer_6,No,No,4.7,1966,912,Dining
Customer_7,No,Yes,1.5,577,2753,Quick Bites
Customer_8,Yes,Yes,4.1,48,1354,Buffet
Customer_9,No,Yes,4.2,978,1127,Delivery
Customer_10,Yes,Yes,1.9,4941,2944,Delivery
Customer_11,Yes,No,2.1,2168,1425,Buffet
Customer_12,No,No,5,3424,1112,Cafe
Customer_13,Yes,No,4.5,873,2533,Buffet
Customer_14,No,No,4.9,4006,1777,Cafe
Customer_15,No,Yes,4.4,4898,245,Quick Bites
Customer_16,No,Yes,4.1,55,448,Dining
Customer_17,Yes,Yes,1.9,3417,1508,Quick Bites
Customer_18,Yes,Yes,3.3,1421,1639,Delivery
Customer_19,Yes,Yes,1.2,4720,635,Delivery
Customer_20,No,Yes,3.1,2960,1034,Buffet
Customer_21,No,No,1,4065,1770,Dining
Customer_22,No,Yes,3.2,445,1808,Delivery
Customer_23,No,Yes,1,1906,971,Cafe
Customer_24,No,No,2,420,1742,Buffet
Customer_25,Yes,No,3.4,4022,2914,Cafe
Customer_26,No,No,4.7,187,1959,Cafe
Customer_27,Yes,No,1.9,4692,573,Buffet
Customer_28,Yes,No,3.4,4986,675,Quick Bites
Customer_29,No,No,3.7,1956,2576,Quick Bites
Customer_30,No,No,2,4587,2581,Buffet
Customer_31,Yes,No,4.6,268,1054,Quick Bites
Customer_32,No,Yes,1.4,4609,725,Buffet
Customer_33,No,No,3.1,2214,2046,Dining
Customer_34,Yes,Yes,3,272,1007,Dining
Customer_35,Yes,No,4.3,3051,2278,Delivery
Customer_36,Yes,No,4.4,2568,2799,Quick Bites
Customer_37,Yes,No,4.3,3001,638,Buffet
Customer_38,No,Yes,3,2417,2620,Dining
Customer_39,No,No,4,4038,2848,Buffet
Customer_40,No,Yes,4.7,3056,403,Delivery
Customer_41,Yes,Yes,3.5,2635,1760,Buffet
Customer_42,Yes,Yes,2.9,3672,2760,Cafe
Customer_43,Yes,Yes,4.6,3253,313,Buffet
Customer_44,Yes,Yes,1.4,877,2317,Buffet
Customer_45,Yes,No,3.8,616,708,Buffet
Customer_46,No,No,3,3476,2481,Quick Bites
Customer_47,Yes,Yes,4.2,1362,374,Dining
Customer_48,Yes,Yes,4.7,1183,2259,Dining
Customer_49,No,No,2.7,530,1274,Buffet
Customer_50,No,No,4.2,194,2992,Buffet
Customer_51,No,Yes,4.4,2329,1547,Dining
Customer_52,Yes,Yes,3,1930,2857,Dining
Customer_53,Yes,No,3.1,575,2896,Cafe
Customer_54,Yes,No,2.8,117,1182,Buffet
Customer_55,No,Yes,3.5,3501,1639,Dining
